Event Generated Time (UTC),Event ID,Event Description,Event Category,Threat Target IPv4 Address,Action Taken,Agent GUID
7/30/13 11:02:40 PM,1059,Scan Timed Out,Operational,12.205.14.101,None,E4459715-2E02-40DC-9F41-E086881BEBAD
7/30/13 11:02:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:02:01 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 11:01:45 PM,1059,Scan Timed Out,Operational,144.170.33.104,None,5952AB45-BD98-4EF5-8149-2B400F45F696
7/30/13 11:01:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:01:20 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 11:01:08 PM,1059,Scan Timed Out,Operational,12.205.15.106,None,7C84F4CD-2B59-4EF6-834A-B34D69B1F0E3
7/30/13 11:00:57 PM,18000,Host intrusion detected and handled,Registry,104.12.21.10,Permitted,982A0DAB-CD96-4A95-A7C1-01DD77B4F90E
7/30/13 11:00:56 PM,18000,Host intrusion detected and handled,Registry,104.12.21.10,Permitted,982A0DAB-CD96-4A95-A7C1-01DD77B4F90E
7/30/13 11:00:47 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 11:00:35 PM,1059,Scan Timed Out,Operational,12.205.13.107,None,AD898BE9-C646-4C8A-B293-7290A828F96B
7/30/13 11:00:32 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 11:00:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 11:00:23 PM,1059,Scan Timed Out,Operational,144.170.34.104,None,348767B6-3FF5-441E-82D8-6C02033A7133
7/30/13 11:00:21 PM,1059,Scan Timed Out,Operational,144.170.34.103,None,5C4FFF39-8243-40A1-80B4-3698A3E671CC
7/30/13 11:00:13 PM,1059,Scan Timed Out,Operational,12.205.15.106,None,7C84F4CD-2B59-4EF6-834A-B34D69B1F0E3
7/30/13 11:00:02 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 11:00:02 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 11:00:01 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 10:59:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 10:59:14 PM,18000,Host intrusion detected and handled,Registry,144.170.91.10,Permitted,E3A32768-3207-40E4-82BB-41D955521626
7/30/13 10:59:14 PM,18000,Host intrusion detected and handled,Registry,144.170.91.10,Permitted,E3A32768-3207-40E4-82BB-41D955521626
7/30/13 10:58:52 PM,18000,Host intrusion detected and handled,File system,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 10:58:51 PM,18000,Host intrusion detected and handled,File system,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 10:58:47 PM,18000,Host intrusion detected and handled,Registry,12.205.21.10,Permitted,306C0164-4C8F-492E-A571-EE9923784570
7/30/13 10:58:47 PM,18000,Host intrusion detected and handled,Registry,12.205.21.10,Permitted,306C0164-4C8F-492E-A571-EE9923784570
7/30/13 10:58:45 PM,18000,Host intrusion detected and handled,Registry,12.205.21.13,Permitted,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 10:58:36 PM,1059,Scan Timed Out,Operational,12.205.13.102,None,DDB992D4-FC2D-4B88-8282-469566BE1E79
7/30/13 10:58:34 PM,18000,Host intrusion detected and handled,Registry,12.205.21.11,Permitted,49344B9D-BEF0-4DFC-9D0D-DDF113EF7360
7/30/13 10:58:33 PM,18000,Host intrusion detected and handled,Registry,12.205.21.11,Permitted,49344B9D-BEF0-4DFC-9D0D-DDF113EF7360
